[2017-04-05T17:47:40+01:00] DEBUG: Current chef_repo_path is /root
[2017-04-05T17:47:40+01:00] DEBUG: Sleeping for 0 seconds
[2017-04-05T17:47:40+01:00] INFO: Started chef-zero at chefzero://localhost:8889 with repository at /root
  One version per cookbook

[2017-04-05T17:47:40+01:00] DEBUG: Running Ohai with the following configuration: {:log_location=>#<IO:<STDOUT>>, :log_level=>:debug, :file_cache_path=>"/root/.chef/", :cookbook_path=>"/root/cookbooks", :json_attribs=>"/root/.chef/runlist.json", :config_file=>"/root/.chef/solo.rb", :force_logger=>false, :force_formatter=>false, :profile_ruby=>false, :color=>true, :specific_recipes=>[], :solo=>true, :local_mode=>true, :chef_server_url=>"chefzero://localhost:8889"}
[2017-04-05T17:47:40+01:00] INFO: Forking chef instance to converge...
[2017-04-05T17:47:40+01:00] DEBUG: Fork successful. Waiting for new chef pid: 7856
[2017-04-05T17:47:40+01:00] DEBUG: Forked instance now converging
[2017-04-05T17:47:40+01:00] INFO: *** Chef 12.18.31 ***
[2017-04-05T17:47:40+01:00] INFO: Platform: x86_64-linux
[2017-04-05T17:47:40+01:00] INFO: Chef-client pid: 7856
[2017-04-05T17:47:40+01:00] DEBUG: Chef-client request_id: f3657ac3-1434-4931-b42d-280e97752daa
[2017-04-05T17:47:40+01:00] DEBUG: Running Ohai with the following configuration: {:log_location=>#<IO:<STDOUT>>, :log_level=>:debug, :file_cache_path=>"/root/.chef/", :cookbook_path=>"/root/cookbooks", :json_attribs=>"/root/.chef/runlist.json", :config_file=>"/root/.chef/solo.rb", :force_logger=>false, :force_formatter=>false, :profile_ruby=>false, :color=>true, :specific_recipes=>[], :solo=>true, :local_mode=>true, :chef_server_url=>"chefzero://localhost:8889", :formatters=>[], :event_handlers=>[]}
[2017-04-05T17:47:40+01:00] DEBUG: Searching for Ohai plugins in /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/network.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/lua.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/ssh_host_key.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/python.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/joyent.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/dmi.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/freebsd/network.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/freebsd/memory.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/freebsd/cpu.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/freebsd/os.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/freebsd/platform.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/sysconf.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/go.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/eucalyptus.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/netbsd/network.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/netbsd/memory.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/netbsd/cpu.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/netbsd/platform.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/sigar/network.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/sigar/filesystem.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/sigar/memory.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/sigar/cpu.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/sigar/network_route.rb
[2017-04-05T17:47:40+01:00] DEBUG: Could not load sigar gem. Skipping NetworkRoutes plugin
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/sigar/platform.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/vmware.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/dragonflybsd/network.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/dragonflybsd/memory.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/dragonflybsd/cpu.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/dragonflybsd/os.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/dragonflybsd/platform.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/windows/network.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/windows/filesystem.rb
[2017-04-05T17:47:40+01:00] DEBUG: Loading plugin at /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/windows/drivers.rb
